1,The Hunger Games,Suzanne Collins,"Collins has said that the inspiration for The Hunger Games came from channel surfing on television. On one channel she observed people competing on a reality show and on another she saw footage of the invasion of Iraq. The two ""began to blur in this very unsettling way"" and the idea for the book was formed. The Greek myth of Theseus served as a major basis for the story, with Collins describing Katniss as a futuristic Theseus, and Roman gladiatorial games provided the framework. The sense of loss that Collins developed through her father's service in the Vietnam War was also an influence on the story, with Katniss having lost her father at age 11, five years before the story begins.Collins stated that the deaths of young characters and other ""dark passages"" were the most difficult parts of the book to write, but that she had accepted that passages such as these were necessary to the story. She considered the moments where Katniss reflects on happier moments in her past to be more enjoyable.",4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg,1,1
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",4.44,https://images.gr-assets.com/books/1474154022m/3.jpg,1,2
3,Twilight,Stephenie Meyer,"It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).",3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg,1,3
4,To Kill a Mockingbird,Harper Lee,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence structures, to generate Lorem Ipsum which looks reasonable. The generated Lorem Ipsum is therefore always free from repetition, injected humour, or non-characteristic words etc.",4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,1,4
5,The Great Gatsby,F. Scott Fitzgerald,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.",3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,1,5
6,The Fault in Our Stars,John Green,"Donec erat ex, tempus eget nulla id, bibendum aliquet tortor. In varius enim non consequat sodales. Phasellus nec sollicitudin ante. Duis suscipit mattis dui, non tempor nisl suscipit eu. Maecenas euismod sagittis dui, nec ullamcorper erat lobortis tincidunt. Suspendisse egestas libero sit amet magna auctor rutrum. Curabitur dictum tortor ut elit tincidunt pellentesque. Quisque erat dolor, ullamcorper sed purus rutrum, cursus facilisis eros. Mauris et ante interdum, posuere turpis vel, dapibus libero. Aenean ut tortor dapibus, pulvinar lectus lobortis, tempor orci. Morbi rhoncus mauris quis mi efficitur, at semper sapien suscipit.",4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg,1,6
7,The Hobbit or There and Back Again,J.R.R. Tolkien,"Praesent congue vulputate ipsum at rhoncus. Duis in accumsan augue. Cras blandit at mauris at dapibus. Suspendisse in libero eros. Integer volutpat non magna id congue. Etiam ac sodales sapien. Sed commodo sem sed lorem pellentesque auctor. Nullam a efficitur ipsum, faucibus pellentesque neque. In maximus porttitor urna, vel mattis velit malesuada at. Etiam pharetra eleifend viverra. Curabitur mattis quis nisl id pellentesque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque auctor tortor sed leo vehicula consectetur. Cras at quam in erat condimentum porttitor et et dolor. Vestibulum pretium quis orci in dignissim.",4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,1,2
8,The Catcher in the Rye,J.D. Salinger,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur molestie orci sit amet porttitor vulputate. Integer ultricies ultricies cursus. Vivamus ex sem, tincidunt a lectus ac, finibus tempor purus. Duis nisi lacus, pretium ut cursus in, faucibus vel est. Nunc eget sem risus. Etiam a posuere nulla. Quisque mollis nec diam et cursus. Sed et massa quis nunc dapibus molestie.",3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,1,6
9,Angels & Demons ,Dan Brown,"Quisque at odio a nisi ultrices tempor placerat nec enim. Sed dictum leo sed metus sodales, id aliquam eros tristique. Nunc mattis pulvinar suscipit. Etiam semper ultricies tortor at elementum. Quisque sed imperdiet augue. Morbi lorem nisi, convallis a orci id, commodo convallis ligula. Suspendisse id eros et metus finibus cursus sit amet quis diam. Nunc sed dolor et velit tristique eleifend a in ex. In eu efficitur nulla, sit amet sagittis metus. Quisque quis nisl id felis mollis blandit eu rhoncus magna.",3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,1,7
10,Pride and Prejudice,Jane Austen,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras pellentesque lacus a imperdiet auctor. Morbi pharetra mauris vitae egestas tincidunt. Morbi at rhoncus purus. Maecenas sollicitudin neque nec ipsum tincidunt malesuada. Vivamus sem augue, molestie eu augue vitae, sagittis tristique libero. Praesent viverra, massa sed fringilla blandit, lorem orci maximus tellus, nec aliquam ligula lorem sit amet ipsum. Fusce euismod est felis, ac accumsan magna blandit non. Aliquam efficitur ullamcorper ex vitae dapibus. Praesent luctus nisl cursus, placerat sapien eu, posuere tortor. Quisque vel pretium ipsum. Sed ut tincidunt libero.",4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,1,3
11,The Kite Runner ,Khaled Hosseini,"Nam elementum nisi a imperdiet euismod. Suspendisse sagittis fermentum tellus sit amet rutrum. Phasellus pharetra odio quis libero rutrum maximus. In ut felis metus. Ut sit amet dictum turpis. Mauris ornare posuere consectetur. Quisque ultrices suscipit orci eu egestas. Quisque interdum, est a varius imperdiet, nunc urna elementum est, quis facilisis nibh est vel quam.",4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,1,8
12,Divergent,Veronica Roth,"Quisque aliquam scelerisque viverra. Donec sagittis, est vitae finibus placerat, lorem urna condimentum eros, quis auctor turpis nunc id metus. Nullam eget accumsan eros, at dapibus est. Sed non aliquam nisi. Mauris vitae viverra ipsum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vel sem leo. Donec eu sollicitudin sapien, sed luctus diam.",4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,1,1
